Id,State,Postal,Quotes
1,Alabama,AL,0
2,Alaska,AK,0
3,Arizona,AZ,0
4,Arkansas,AR,0
5,California,CA,1
6,Colorado,CO,0
7,Connecticut,CT,0
8,Delaware,DE,0
9,District of Columbia,DC,0
10,Florida,FL,0
11,Georgia,GA,0
12,Hawaii,HI,0
13,Idaho,ID,0
14,Illinois,IL,0
15,Indiana,IN,0
16,Iowa,IA,0
17,Kansas,KS,0
18,Kentucky,KY,0
19,Louisiana,LA,0
20,Maine,ME,0
21,Maryland,MD,0
22,Massachusetts,MA,0
23,Michigan,MI,2
24,Minnesota,MN,0
25,Mississippi,MS,0
26,Missouri,MO,0
27,Montana,MT,0
28,Nebraska,NE,0
29,Nevada,NV,0
30,New Hampshire,NH,0
31,New Jersey,NJ,0
32,New Mexico,NM,0
33,New York,NY,0
34,North Carolina,NC,0
35,North Dakota,ND,0
36,Ohio,OH,0
37,Oklahoma,OK,0
38,Oregon,OR,0
39,Pennsylvania,PA,0
40,Puerto Rico,PR,0
41,Rhode Island,RI,0
42,South Carolina,SC,0
43,South Dakota,SD,0
44,Tennessee,TN,0
45,Texas,TX,0
46,Utah,UT,0
47,Vermont,VT,0
48,Virginia,VA,0
49,Washington,WA,0
50,West Virginia,WV,0
51,Wisconsin,WI,0
52,Wyoming,WY,0
